Name,Gender,PB,SB,Race,Place,100m,200m,300m,400m,500m,600m,700m,800m,900m,1000m,1100m,1200m,1300m,1400m,1500m
William ALPAUGH,m,UNKOWN,UNKOWN,DukeInviteS5 2019 1500m Final,13,UNKOWN,UNKOWN,48.30,UNKOWN,UNKOWN,UNKOWN,1:54.72,UNKOWN,UNKOWN,UNKOWN,3:05.69,UNKOWN,UNKOWN,UNKOWN,4:15.23
Joel SHORES,m,UNKOWN,UNKOWN,DukeInviteS5 2019 1500m Final,14,UNKOWN,UNKOWN,47.37,UNKOWN,UNKOWN,UNKOWN,1:52.55,UNKOWN,UNKOWN,UNKOWN,3:00.91,UNKOWN,UNKOWN,UNKOWN,4:16.33
Ethan SPARKS,m,UNKOWN,UNKOWN,DukeInviteS5 2019 1500m Final,15,UNKOWN,UNKOWN,47.02,UNKOWN,UNKOWN,UNKOWN,1:53.00,UNKOWN,UNKOWN,UNKOWN,3:02.93,UNKOWN,UNKOWN,UNKOWN,4:16.67
Grace SULLIVAN,w,UNKOWN,UNKOWN,DukeInviteS3 2019 1500m Final,1,UNKOWN,UNKOWN,53.71,UNKOWN,UNKOWN,UNKOWN,2:08.92,UNKOWN,UNKOWN,UNKOWN,3:21.64,UNKOWN,UNKOWN,UNKOWN,4:34.00
Sophie SCHMITZ,w,UNKOWN,UNKOWN,DukeInviteS3 2019 1500m Final,2,UNKOWN,UNKOWN,53.25,UNKOWN,UNKOWN,UNKOWN,2:09.96,UNKOWN,UNKOWN,UNKOWN,3:26.50,UNKOWN,UNKOWN,UNKOWN,4:36.95
Sarah ARMSTRONG,w,UNKOWN,UNKOWN,DukeInviteS3 2019 1500m Final,3,UNKOWN,UNKOWN,53.16,UNKOWN,UNKOWN,UNKOWN,2:10.12,UNKOWN,UNKOWN,UNKOWN,3:26.11,UNKOWN,UNKOWN,UNKOWN,4:37.27
Lauren MOFFETT,w,UNKOWN,UNKOWN,DukeInviteS3 2019 1500m Final,4,UNKOWN,UNKOWN,53.23,UNKOWN,UNKOWN,UNKOWN,2:10.41,UNKOWN,UNKOWN,UNKOWN,3:26.67,UNKOWN,UNKOWN,UNKOWN,4:39.84
Elisa SARGENT,w,UNKOWN,UNKOWN,DukeInviteS3 2019 1500m Final,5,UNKOWN,UNKOWN,53.50,UNKOWN,UNKOWN,UNKOWN,2:11.22,UNKOWN,UNKOWN,UNKOWN,3:29.22,UNKOWN,UNKOWN,UNKOWN,4:39.93
Brooke FAZIO,w,UNKOWN,UNKOWN,DukeInviteS3 2019 1500m Final,6,UNKOWN,UNKOWN,53.41,UNKOWN,UNKOWN,UNKOWN,2:10.23,UNKOWN,UNKOWN,UNKOWN,3:29.18,UNKOWN,UNKOWN,UNKOWN,4:41.87
Sara CARNEY,w,UNKOWN,UNKOWN,DukeInviteS3 2019 1500m Final,7,UNKOWN,UNKOWN,53.42,UNKOWN,UNKOWN,UNKOWN,2:10.67,UNKOWN,UNKOWN,UNKOWN,3:27.44,UNKOWN,UNKOWN,UNKOWN,4:42.40
Taylor DELANEY,w,UNKOWN,UNKOWN,DukeInviteS3 2019 1500m Final,8,UNKOWN,UNKOWN,53.79,UNKOWN,UNKOWN,UNKOWN,2:10.34,UNKOWN,UNKOWN,UNKOWN,3:26.92,UNKOWN,UNKOWN,UNKOWN,4:42.56
Cate AMBROSE,w,UNKOWN,UNKOWN,DukeInviteS3 2019 1500m Final,9,UNKOWN,UNKOWN,53.77,UNKOWN,UNKOWN,UNKOWN,2:10.64,UNKOWN,UNKOWN,UNKOWN,3:29.11,UNKOWN,UNKOWN,UNKOWN,4:44.32
Sarah LATOUR,w,UNKOWN,UNKOWN,DukeInviteS3 2019 1500m Final,10,UNKOWN,UNKOWN,52.91,UNKOWN,UNKOWN,UNKOWN,2:09.88,UNKOWN,UNKOWN,UNKOWN,3:29.59,UNKOWN,UNKOWN,UNKOWN,4:45.39
Deirdre CASEY,w,UNKOWN,UNKOWN,DukeInviteS3 2019 1500m Final,11,UNKOWN,UNKOWN,53.97,UNKOWN,UNKOWN,UNKOWN,2:10.88,UNKOWN,UNKOWN,UNKOWN,3:28.82,UNKOWN,UNKOWN,UNKOWN,4:46.67
Nicole SQUATRITO,w,UNKOWN,UNKOWN,DukeInviteS3 2019 1500m Final,12,UNKOWN,UNKOWN,53.56,UNKOWN,UNKOWN,UNKOWN,2:12.71,UNKOWN,UNKOWN,UNKOWN,3:32.86,UNKOWN,UNKOWN,UNKOWN,4:52.22
Paige KING,w,UNKOWN,UNKOWN,DukeInviteS3 2019 1500m Final,13,UNKOWN,UNKOWN,53.60,UNKOWN,UNKOWN,UNKOWN,2:13.23,UNKOWN,UNKOWN,UNKOWN,3:32.54,UNKOWN,UNKOWN,UNKOWN,4:54.22
Franziska JAKOBS,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,1,UNKOWN,UNKOWN,54.72,UNKOWN,UNKOWN,UNKOWN,2:10.02,UNKOWN,UNKOWN,UNKOWN,3:26.53,UNKOWN,UNKOWN,UNKOWN,4:40.33
Sarah VENABLE,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,2,UNKOWN,UNKOWN,55.17,UNKOWN,UNKOWN,UNKOWN,2:10.47,UNKOWN,UNKOWN,UNKOWN,3:26.66,UNKOWN,UNKOWN,UNKOWN,4:40.60
Harper HENSON,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,3,UNKOWN,UNKOWN,55.23,UNKOWN,UNKOWN,UNKOWN,2:11.07,UNKOWN,UNKOWN,UNKOWN,3:27.14,UNKOWN,UNKOWN,UNKOWN,4:42.75
Madelyn RODRIGUEZ,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,4,UNKOWN,UNKOWN,55.62,UNKOWN,UNKOWN,UNKOWN,2:11.57,UNKOWN,UNKOWN,UNKOWN,3:28.29,UNKOWN,UNKOWN,UNKOWN,4:42.96
Kylee FRADY,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,5,UNKOWN,UNKOWN,55.04,UNKOWN,UNKOWN,UNKOWN,2:10.95,UNKOWN,UNKOWN,UNKOWN,3:28.73,UNKOWN,UNKOWN,UNKOWN,4:44.42
Alyssa UNGRADY,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,6,UNKOWN,UNKOWN,55.10,UNKOWN,UNKOWN,UNKOWN,2:10.72,UNKOWN,UNKOWN,UNKOWN,3:26.98,UNKOWN,UNKOWN,UNKOWN,4:45.45
Madeline FITCH,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,7,UNKOWN,UNKOWN,55.54,UNKOWN,UNKOWN,UNKOWN,2:11.47,UNKOWN,UNKOWN,UNKOWN,3:28.15,UNKOWN,UNKOWN,UNKOWN,4:45.73
Kassidy DILL,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,8,UNKOWN,UNKOWN,55.17,UNKOWN,UNKOWN,UNKOWN,2:09.79,UNKOWN,UNKOWN,UNKOWN,3:26.90,UNKOWN,UNKOWN,UNKOWN,4:46.17
Noelle SAINE,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,9,UNKOWN,UNKOWN,54.75,UNKOWN,UNKOWN,UNKOWN,2:10.50,UNKOWN,UNKOWN,UNKOWN,3:26.91,UNKOWN,UNKOWN,UNKOWN,4:46.48
Lindsay YENTZ,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,10,UNKOWN,UNKOWN,54.94,UNKOWN,UNKOWN,UNKOWN,2:12.61,UNKOWN,UNKOWN,UNKOWN,3:30.63,UNKOWN,UNKOWN,UNKOWN,4:49.38
Kelley MCCARTEN,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,11,UNKOWN,UNKOWN,55.30,UNKOWN,UNKOWN,UNKOWN,2:12.17,UNKOWN,UNKOWN,UNKOWN,3:32.99,UNKOWN,UNKOWN,UNKOWN,4:50.33
Heidi SMITH,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,12,UNKOWN,UNKOWN,54.86,UNKOWN,UNKOWN,UNKOWN,2:11.15,UNKOWN,UNKOWN,UNKOWN,3:28.55,UNKOWN,UNKOWN,UNKOWN,4:50.54
Allison RICE,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,13,UNKOWN,UNKOWN,54.70,UNKOWN,UNKOWN,UNKOWN,2:12.28,UNKOWN,UNKOWN,UNKOWN,3:32.72,UNKOWN,UNKOWN,UNKOWN,4:52.02
Katie MACTURK,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,14,UNKOWN,UNKOWN,55.64,UNKOWN,UNKOWN,UNKOWN,2:14.25,UNKOWN,UNKOWN,UNKOWN,3:37.53,UNKOWN,UNKOWN,UNKOWN,4:57.08
Chandler MCCASLIN,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,15,UNKOWN,UNKOWN,55.67,UNKOWN,UNKOWN,UNKOWN,2:14.87,UNKOWN,UNKOWN,UNKOWN,3:36.22,UNKOWN,UNKOWN,UNKOWN,4:59.21
Rylee BOWEN,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,16,UNKOWN,UNKOWN,55.40,UNKOWN,UNKOWN,UNKOWN,2:13.73,UNKOWN,UNKOWN,UNKOWN,3:41.40,UNKOWN,UNKOWN,UNKOWN,5:07.35
Annsley ECKERT,w,UNKOWN,UNKOWN,DukeInviteS4 2019 1500m Final,17,UNKOWN,UNKOWN,55.89,UNKOWN,UNKOWN,UNKOWN,2:15.77,UNKOWN,UNKOWN,UNKOWN,3:44.16,UNKOWN,UNKOWN,UNKOWN,5:07.67
Abigail SEABERG,w,UNKOWN,UNKOWN,VirginiaGrandPrixS4 2019 1500m Final,1,UNKOWN,UNKOWN,57.14,UNKOWN,UNKOWN,UNKOWN,2:14.51,UNKOWN,UNKOWN,UNKOWN,3:33.46,UNKOWN,UNKOWN,UNKOWN,4:46.22
Julia LAMBERT,w,UNKOWN,UNKOWN,VirginiaGrandPrixS4 2019 1500m Final,2,UNKOWN,UNKOWN,56.65,UNKOWN,UNKOWN,UNKOWN,2:13.92,UNKOWN,UNKOWN,UNKOWN,3:33.83,UNKOWN,UNKOWN,UNKOWN,4:52.84
Kyley SORG,w,UNKOWN,UNKOWN,VirginiaGrandPrixS4 2019 1500m Final,3,UNKOWN,UNKOWN,57.46,UNKOWN,UNKOWN,UNKOWN,2:15.35,UNKOWN,UNKOWN,UNKOWN,3:36.69,UNKOWN,UNKOWN,UNKOWN,4:54.39
Rebekah LEONE,w,UNKOWN,UNKOWN,VirginiaGrandPrixS4 2019 1500m Final,4,UNKOWN,UNKOWN,57.63,UNKOWN,UNKOWN,UNKOWN,2:15.78,UNKOWN,UNKOWN,UNKOWN,3:36.11,UNKOWN,UNKOWN,UNKOWN,4:54.90
Fridah KOECH,w,UNKOWN,UNKOWN,VirginiaGrandPrixS4 2019 1500m Final,5,UNKOWN,UNKOWN,56.91,UNKOWN,UNKOWN,UNKOWN,2:14.23,UNKOWN,UNKOWN,UNKOWN,3:34.96,UNKOWN,UNKOWN,UNKOWN,4:55.48
Caroline SAMOEI,w,UNKOWN,UNKOWN,VirginiaGrandPrixS4 2019 1500m Final,6,UNKOWN,UNKOWN,58.04,UNKOWN,UNKOWN,UNKOWN,2:16.35,UNKOWN,UNKOWN,UNKOWN,3:39.51,UNKOWN,UNKOWN,UNKOWN,5:01.36
Ashah KOECH,w,UNKOWN,UNKOWN,VirginiaGrandPrixS4 2019 1500m Final,7,UNKOWN,UNKOWN,58.27,UNKOWN,UNKOWN,UNKOWN,2:16.92,UNKOWN,UNKOWN,UNKOWN,3:44.21,UNKOWN,UNKOWN,UNKOWN,5:05.22
Kathryn SHEA,w,UNKOWN,UNKOWN,VirginiaGrandPrixS4 2019 1500m Final,8,UNKOWN,UNKOWN,58.89,UNKOWN,UNKOWN,UNKOWN,2:21.29,UNKOWN,UNKOWN,UNKOWN,3:50.51,UNKOWN,UNKOWN,UNKOWN,5:20.05
Elizabeth BRUSH,w,UNKOWN,UNKOWN,DukeInviteS2 2019 1500m Final,1,UNKOWN,UNKOWN,54.80,UNKOWN,UNKOWN,UNKOWN,2:07.77,UNKOWN,UNKOWN,UNKOWN,3:20.42,UNKOWN,UNKOWN,UNKOWN,4:28.25
Maggie MORGAN,w,UNKOWN,UNKOWN,DukeInviteS2 2019 1500m Final,2,UNKOWN,UNKOWN,54.87,UNKOWN,UNKOWN,UNKOWN,2:07.70,UNKOWN,UNKOWN,UNKOWN,3:20.34,UNKOWN,UNKOWN,UNKOWN,4:30.31
Anastasia KORZENOWSKI,w,UNKOWN,UNKOWN,DukeInviteS2 2019 1500m Final,3,UNKOWN,UNKOWN,54.75,UNKOWN,UNKOWN,UNKOWN,2:07.49,UNKOWN,UNKOWN,UNKOWN,3:20.17,UNKOWN,UNKOWN,UNKOWN,4:32.17
Charlotte KOWALK,w,UNKOWN,UNKOWN,DukeInviteS2 2019 1500m Final,4,UNKOWN,UNKOWN,54.69,UNKOWN,UNKOWN,UNKOWN,2:07.56,UNKOWN,UNKOWN,UNKOWN,3:20.23,UNKOWN,UNKOWN,UNKOWN,4:33.70
Phylissa GREELEY,w,UNKOWN,UNKOWN,DukeInviteS2 2019 1500m Final,5,UNKOWN,UNKOWN,55.22,UNKOWN,UNKOWN,UNKOWN,2:08.23,UNKOWN,UNKOWN,UNKOWN,3:23.00,UNKOWN,UNKOWN,UNKOWN,4:35.12
Olivia HUMMEL,w,UNKOWN,UNKOWN,DukeInviteS2 2019 1500m Final,6,UNKOWN,UNKOWN,54.50,UNKOWN,UNKOWN,UNKOWN,2:07.62,UNKOWN,UNKOWN,UNKOWN,3:22.01,UNKOWN,UNKOWN,UNKOWN,4:35.19
Kendra SMITHER,w,UNKOWN,UNKOWN,DukeInviteS2 2019 1500m Final,7,UNKOWN,UNKOWN,55.02,UNKOWN,UNKOWN,UNKOWN,2:08.04,UNKOWN,UNKOWN,UNKOWN,3:22.78,UNKOWN,UNKOWN,UNKOWN,4:41.39
Caroline ROBELEN,w,UNKOWN,UNKOWN,DukeInviteS2 2019 1500m Final,8,UNKOWN,UNKOWN,54.46,UNKOWN,UNKOWN,UNKOWN,2:07.45,UNKOWN,UNKOWN,UNKOWN,3:22.66,UNKOWN,UNKOWN,UNKOWN,4:42.92
Lauren FINIKIOTIS,w,UNKOWN,UNKOWN,DukeInviteS2 2019 1500m Final,9,UNKOWN,UNKOWN,55.15,UNKOWN,UNKOWN,UNKOWN,2:08.89,UNKOWN,UNKOWN,UNKOWN,3:26.14,UNKOWN,UNKOWN,UNKOWN,4:44.15
Kendall DERRY,w,UNKOWN,UNKOWN,DukeInviteS2 2019 1500m Final,10,UNKOWN,UNKOWN,54.84,UNKOWN,UNKOWN,UNKOWN,2:07.85,UNKOWN,UNKOWN,UNKOWN,3:24.77,UNKOWN,UNKOWN,UNKOWN,4:44.68
Mikayla RICHARDSON,w,UNKOWN,UNKOWN,DukeInviteS2 2019 1500m Final,11,UNKOWN,UNKOWN,55.37,UNKOWN,UNKOWN,UNKOWN,2:10.47,UNKOWN,UNKOWN,UNKOWN,3:28.69,UNKOWN,UNKOWN,UNKOWN,4:46.77
Casey GREENWALT,w,UNKOWN,UNKOWN,DukeInviteS2 2019 1500m Final,12,UNKOWN,UNKOWN,54.96,UNKOWN,UNKOWN,UNKOWN,2:07.93,UNKOWN,UNKOWN,UNKOWN,3:26.25,UNKOWN,UNKOWN,UNKOWN,4:51.39
Emily MACKAY,w,UNKOWN,UNKOWN,VirginiaChallengeS4 2019 1500m Final,1,UNKOWN,UNKOWN,53.39,UNKOWN,UNKOWN,UNKOWN,2:05.97,UNKOWN,UNKOWN,UNKOWN,3:17.04,UNKOWN,UNKOWN,UNKOWN,4:27.45
Erica JACKSON,w,UNKOWN,UNKOWN,VirginiaChallengeS4 2019 1500m Final,2,UNKOWN,UNKOWN,53.43,UNKOWN,UNKOWN,UNKOWN,2:06.62,UNKOWN,UNKOWN,UNKOWN,3:19.23,UNKOWN,UNKOWN,UNKOWN,4:30.52
Maya RAYLE,w,UNKOWN,UNKOWN,VirginiaChallengeS4 2019 1500m Final,3,UNKOWN,UNKOWN,53.79,UNKOWN,UNKOWN,UNKOWN,2:06.87,UNKOWN,UNKOWN,UNKOWN,3:19.45,UNKOWN,UNKOWN,UNKOWN,4:32.99
Lindsey RUDDEN,w,UNKOWN,UNKOWN,VirginiaChallengeS4 2019 1500m Final,4,UNKOWN,UNKOWN,53.69,UNKOWN,UNKOWN,UNKOWN,2:06.89,UNKOWN,UNKOWN,UNKOWN,3:20.51,UNKOWN,UNKOWN,UNKOWN,4:34.19
Meggan GRAMS,w,UNKOWN,UNKOWN,VirginiaChallengeS4 2019 1500m Final,5,UNKOWN,UNKOWN,53.14,UNKOWN,UNKOWN,UNKOWN,2:05.23,UNKOWN,UNKOWN,UNKOWN,3:15.96,UNKOWN,UNKOWN,UNKOWN,4:39.02
Katie THRONSON,w,UNKOWN,UNKOWN,VirginiaChallengeS4 2019 1500m Final,6,UNKOWN,UNKOWN,53.57,UNKOWN,UNKOWN,UNKOWN,2:06.65,UNKOWN,UNKOWN,UNKOWN,3:21.06,UNKOWN,UNKOWN,UNKOWN,4:40.29
Grace TRUCILLA,w,UNKOWN,UNKOWN,VirginiaChallengeS4 2019 1500m Final,7,UNKOWN,UNKOWN,53.33,UNKOWN,UNKOWN,UNKOWN,2:06.34,UNKOWN,UNKOWN,UNKOWN,3:21.04,UNKOWN,UNKOWN,UNKOWN,4:41.16
Julia VANITVELT,w,UNKOWN,UNKOWN,VirginiaChallengeS4 2019 1500m Final,8,UNKOWN,UNKOWN,53.15,UNKOWN,UNKOWN,UNKOWN,2:07.25,UNKOWN,UNKOWN,UNKOWN,3:24.83,UNKOWN,UNKOWN,UNKOWN,4:44.63
Ryen FRAZIER,w,UNKOWN,UNKOWN,VirginiaChallengeS4 2019 1500m Final,9,UNKOWN,UNKOWN,54.03,UNKOWN,UNKOWN,UNKOWN,2:10.20,UNKOWN,UNKOWN,UNKOWN,3:30.23,UNKOWN,UNKOWN,UNKOWN,4:55.65
Colette O'LEARY,w,UNKOWN,UNKOWN,A10s2 2019 1500m Final,1,UNKOWN,UNKOWN,53.01,UNKOWN,UNKOWN,UNKOWN,2:10.17,UNKOWN,UNKOWN,UNKOWN,3:25.80,UNKOWN,UNKOWN,UNKOWN,4:34.36
Rachel VALOTTA,w,UNKOWN,UNKOWN,A10s2 2019 1500m Final,2,UNKOWN,UNKOWN,53.04,UNKOWN,UNKOWN,UNKOWN,2:09.92,UNKOWN,UNKOWN,UNKOWN,3:26.12,UNKOWN,UNKOWN,UNKOWN,4:37.60
Lucy HARMON,w,UNKOWN,UNKOWN,A10s2 2019 1500m Final,3,UNKOWN,UNKOWN,53.46,UNKOWN,UNKOWN,UNKOWN,2:10.22,UNKOWN,UNKOWN,UNKOWN,3:26.23,UNKOWN,UNKOWN,UNKOWN,4:38.74
Annabelle EASTMAN,w,UNKOWN,UNKOWN,A10s2 2019 1500m Final,4,UNKOWN,UNKOWN,53.55,UNKOWN,UNKOWN,UNKOWN,2:09.88,UNKOWN,UNKOWN,UNKOWN,3:25.83,UNKOWN,UNKOWN,UNKOWN,4:39.10
Lexi SCIORTINO,w,UNKOWN,UNKOWN,A10s2 2019 1500m Final,5,UNKOWN,UNKOWN,53.34,UNKOWN,UNKOWN,UNKOWN,2:10.25,UNKOWN,UNKOWN,UNKOWN,3:26.09,UNKOWN,UNKOWN,UNKOWN,4:40.83
Kelly WILKER,w,UNKOWN,UNKOWN,A10s2 2019 1500m Final,6,UNKOWN,UNKOWN,53.79,UNKOWN,UNKOWN,UNKOWN,2:10.40,UNKOWN,UNKOWN,UNKOWN,3:26.35,UNKOWN,UNKOWN,UNKOWN,4:42.39
Katie ANDERSON,w,UNKOWN,UNKOWN,A10s2 2019 1500m Final,7,UNKOWN,UNKOWN,53.29,UNKOWN,UNKOWN,UNKOWN,2:10.41,UNKOWN,UNKOWN,UNKOWN,3:26.77,UNKOWN,UNKOWN,UNKOWN,4:43.46
Caroline CLARK,w,UNKOWN,UNKOWN,A10s2 2019 1500m Final,8,UNKOWN,UNKOWN,53.50,UNKOWN,UNKOWN,UNKOWN,2:10.38,UNKOWN,UNKOWN,UNKOWN,3:25.92,UNKOWN,UNKOWN,UNKOWN,4:45.09
Caitlin KELLY,w,UNKOWN,UNKOWN,A10s2 2019 1500m Final,9,UNKOWN,UNKOWN,53.11,UNKOWN,UNKOWN,UNKOWN,2:10.05,UNKOWN,UNKOWN,UNKOWN,3:26.87,UNKOWN,UNKOWN,UNKOWN,4:45.61
Alexa LIVINGSTONE,w,UNKOWN,UNKOWN,A10s2 2019 1500m Final,10,UNKOWN,UNKOWN,53.93,UNKOWN,UNKOWN,UNKOWN,2:10.75,UNKOWN,UNKOWN,UNKOWN,3:28.34,UNKOWN,UNKOWN,UNKOWN,4:46.20
Courtney LINK,w,UNKOWN,UNKOWN,A10s2 2019 1500m Final,11,UNKOWN,UNKOWN,53.69,UNKOWN,UNKOWN,UNKOWN,2:10.99,UNKOWN,UNKOWN,UNKOWN,3:28.54,UNKOWN,UNKOWN,UNKOWN,4:46.42
Catherine CURTIN,w,UNKOWN,UNKOWN,A10s2 2019 1500m Final,12,UNKOWN,UNKOWN,54.11,UNKOWN,UNKOWN,UNKOWN,2:11.36,UNKOWN,UNKOWN,UNKOWN,3:31.26,UNKOWN,UNKOWN,UNKOWN,4:46.91
Noelle SAINE,w,UNKOWN,UNKOWN,A10s2 2019 1500m Final,13,UNKOWN,UNKOWN,53.73,UNKOWN,UNKOWN,UNKOWN,2:11.32,UNKOWN,UNKOWN,UNKOWN,3:30.84,UNKOWN,UNKOWN,UNKOWN,4:48.10
Brittany WILKINSON,w,UNKOWN,UNKOWN,A10s2 2019 1500m Final,14,UNKOWN,UNKOWN,53.22,UNKOWN,UNKOWN,UNKOWN,2:10.59,UNKOWN,UNKOWN,UNKOWN,3:31.21,UNKOWN,UNKOWN,UNKOWN,4:53.30
Emily SCHAEFFER,w,UNKOWN,UNKOWN,A10s2 2019 1500m Final,15,UNKOWN,UNKOWN,54.20,UNKOWN,UNKOWN,UNKOWN,2:11.48,UNKOWN,UNKOWN,UNKOWN,3:31.64,UNKOWN,UNKOWN,UNKOWN,4:54.42
Yared NUGUSE,m,UNKOWN,UNKOWN,ncaa 2019 1500m Final,1,UNKOWN,UNKOWN,42.98,UNKOWN,UNKOWN,UNKOWN,1:45.74,UNKOWN,UNKOWN,UNKOWN,2:47.17,UNKOWN,UNKOWN,UNKOWN,3:41.39
Justine KIPROTICH,m,UNKOWN,UNKOWN,ncaa 2019 1500m Final,2,UNKOWN,UNKOWN,43.46,UNKOWN,UNKOWN,UNKOWN,1:45.93,UNKOWN,UNKOWN,UNKOWN,2:47.33,UNKOWN,UNKOWN,UNKOWN,3:41.39
Cameron GRIFFITH,m,UNKOWN,UNKOWN,ncaa 2019 1500m Final,3,UNKOWN,UNKOWN,43.92,UNKOWN,UNKOWN,UNKOWN,1:46.87,UNKOWN,UNKOWN,UNKOWN,2:47.72,UNKOWN,UNKOWN,UNKOWN,3:42.14
Oliver HOARE,m,UNKOWN,UNKOWN,ncaa 2019 1500m Final,4,UNKOWN,UNKOWN,42.92,UNKOWN,UNKOWN,UNKOWN,1:45.85,UNKOWN,UNKOWN,UNKOWN,2:47.21,UNKOWN,UNKOWN,UNKOWN,3:42.29
William PAULSON,m,UNKOWN,UNKOWN,ncaa 2019 1500m Final,5,UNKOWN,UNKOWN,43.10,UNKOWN,UNKOWN,UNKOWN,1:45.97,UNKOWN,UNKOWN,UNKOWN,2:47.30,UNKOWN,UNKOWN,UNKOWN,3:42.32
Kasey KNEVELBAARD,m,UNKOWN,UNKOWN,ncaa 2019 1500m Final,6,UNKOWN,UNKOWN,44.02,UNKOWN,UNKOWN,UNKOWN,1:46.77,UNKOWN,UNKOWN,UNKOWN,2:47.87,UNKOWN,UNKOWN,UNKOWN,3:42.43
Jack ANSTEY,m,UNKOWN,UNKOWN,ncaa 2019 1500m Final,7,UNKOWN,UNKOWN,43.53,UNKOWN,UNKOWN,UNKOWN,1:46.42,UNKOWN,UNKOWN,UNKOWN,2:47.56,UNKOWN,UNKOWN,UNKOWN,3:42.73
Casey COMBER,m,UNKOWN,UNKOWN,ncaa 2019 1500m Final,8,UNKOWN,UNKOWN,43.74,UNKOWN,UNKOWN,UNKOWN,1:46.63,UNKOWN,UNKOWN,UNKOWN,2:47.26,UNKOWN,UNKOWN,UNKOWN,3:42.77
Sam WORLEY,m,UNKOWN,UNKOWN,ncaa 2019 1500m Final,9,UNKOWN,UNKOWN,43.16,UNKOWN,UNKOWN,UNKOWN,1:46.13,UNKOWN,UNKOWN,UNKOWN,2:47.58,UNKOWN,UNKOWN,UNKOWN,3:42.81
Mick STANOVSEK,m,UNKOWN,UNKOWN,ncaa 2019 1500m Final,10,UNKOWN,UNKOWN,43.22,UNKOWN,UNKOWN,UNKOWN,1:46.23,UNKOWN,UNKOWN,UNKOWN,2:47.44,UNKOWN,UNKOWN,UNKOWN,3:45.64
Talem FRANCO,m,UNKOWN,UNKOWN,ncaa 2019 1500m Final,11,UNKOWN,UNKOWN,43.34,UNKOWN,UNKOWN,UNKOWN,1:46.08,UNKOWN,UNKOWN,UNKOWN,2:47.48,UNKOWN,UNKOWN,UNKOWN,3:46.20
Eduardo HERRERA,m,UNKOWN,UNKOWN,ncaa 2019 1500m Final,12,UNKOWN,UNKOWN,43.27,UNKOWN,UNKOWN,UNKOWN,1:46.31,UNKOWN,UNKOWN,UNKOWN,2:47.63,UNKOWN,UNKOWN,UNKOWN,3:46.27
Yared NUGUSE,m,UNKOWN,UNKOWN,ACC 2019 1500m Final,1,UNKOWN,UNKOWN,43.37,UNKOWN,UNKOWN,UNKOWN,1:44.06,UNKOWN,UNKOWN,UNKOWN,2:44.38,UNKOWN,UNKOWN,UNKOWN,3:41.34
Nate SLOAN,m,UNKOWN,UNKOWN,ACC 2019 1500m Final,2,UNKOWN,UNKOWN,43.57,UNKOWN,UNKOWN,UNKOWN,1:44.32,UNKOWN,UNKOWN,UNKOWN,2:44.72,UNKOWN,UNKOWN,UNKOWN,3:43.05
Ian RITCHIE,m,UNKOWN,UNKOWN,ACC 2019 1500m Final,3,UNKOWN,UNKOWN,44.18,UNKOWN,UNKOWN,UNKOWN,1:45.68,UNKOWN,UNKOWN,UNKOWN,2:47.37,UNKOWN,UNKOWN,UNKOWN,3:44.34
Brandon TUBBY,m,UNKOWN,UNKOWN,ACC 2019 1500m Final,4,UNKOWN,UNKOWN,44.03,UNKOWN,UNKOWN,UNKOWN,1:45.50,UNKOWN,UNKOWN,UNKOWN,2:46.86,UNKOWN,UNKOWN,UNKOWN,3:44.42
Alex MILLIGAN,m,UNKOWN,UNKOWN,ACC 2019 1500m Final,5,UNKOWN,UNKOWN,44.15,UNKOWN,UNKOWN,UNKOWN,1:45.92,UNKOWN,UNKOWN,UNKOWN,2:46.99,UNKOWN,UNKOWN,UNKOWN,3:44.98
Jack JOYCE,m,UNKOWN,UNKOWN,ACC 2019 1500m Final,6,UNKOWN,UNKOWN,43.86,UNKOWN,UNKOWN,UNKOWN,1:45.35,UNKOWN,UNKOWN,UNKOWN,2:47.00,UNKOWN,UNKOWN,UNKOWN,3:45.11
Matthias CANNON,m,UNKOWN,UNKOWN,ACC 2019 1500m Final,7,UNKOWN,UNKOWN,44.43,UNKOWN,UNKOWN,UNKOWN,1:45.96,UNKOWN,UNKOWN,UNKOWN,2:47.30,UNKOWN,UNKOWN,UNKOWN,3:45.99
